AB,AD,AN,AU,C1,C2,DA,DB,DO,DP,ET,ID,IS,KW,L1,LA,N1,PY,SE,SN,SP,ST,T2,TI,TY,UR,VL
"Floral homeotic MADS-box transcription factors ensure the correct morphogenesis of floral organs, which are organized in different cell layers deriving from distinct meristematic layers. How cells from these distinct layers acquire their respective identities and coordinate their growth to ensure normal floral organ morphogenesis is unresolved. Here, we studied petunia (Petunia x hybrida) petals that form a limb and tube through congenital fusion. We identified petunia mutants (periclinal chimeras) expressing the B-class MADS-box gene DEFICIENS in the petal epidermis or in the petal mesophyll, called wico and star, respectively. Strikingly, wico flowers form a strongly reduced tube while their limbs are almost normal, while star flowers form a normal tube but greatly reduced and unpigmented limbs, showing that petunia petal morphogenesis is highly modular. These mutants highlight the layer-specific roles of PhDEF during petal development. We explored the link between PhDEF and petal pigmentation, a well-characterized limb epidermal trait. The anthocyanin biosynthesis pathway was strongly downregulated in star petals, including its major regulator ANTHOCYANIN2 (AN2). We established that PhDEF directly binds to the AN2 terminator in vitro and in vivo, suggesting that PhDEF might regulate AN2 expression and therefore petal epidermis pigmentation. Altogether, we show that cell layer-specific homeotic activity in petunia petals differently impacts tube and limb development, revealing the relative importance of the different cell layers in the modular architecture of petunia petals.","Laboratoire de Reproduction et Developpement des Plantes, Universite de Lyon, ENS de Lyon, UCB Lyon 1, CNRS, INRAE, Lyon 69007, France.",37804091,"Chopy, M. | Cavallini-Speisser, Q. | Chambrier, P. | Morel, P. | Just, J. | Hugouvieux, V. | Rodrigues Bento, S. | Zubieta, C. | Vandenbussche, M. | Monniaux, M.",Conflict of interest statement. None declared.,PMC10827313,Jan 30,Medline,10.1093/plcell/koad258,NLM,,664,2,*Transcription Factors/genetics/metabolism,internal-pdf://2680327878/Chopy-2024.pdf,,"Chopy, Mathilde",2024,,1532-298X (Electronic),324-345,Cell layer-specific expression of the homeotic MADS-box transcription factor PhDEF contributes to modular petal morphogenesis in petunia,Plant Cell,Cell layer-specific expression of the homeotic MADS-box transcription factor PhDEF contributes to modular petal morphogenesis in petunia,JOUR,https://www.ncbi.nlm.nih.gov/pubmed/37804091,36
"BACKGROUND: The MADS-box transcription factors mainly function in floral organ organogenesis and identity specification. Few research on their roles in vegetative growth has been reported. RESULTS: Here we investigated the functions of OsMADS57 in plant vegetative growth in rice (Oryza sativa). Knockdown of OsMADS57 reduced the plant height, internode elongation and panicle exsertion in rice plants. Further study showed that the cell length was remarkably reduced in the uppermost internode in OsMADS57 knockdown plants at maturity. Moreover, OsMADS57 knockdown plants were more sensitive to gibberellic acid (GA(3)), and contained less bioactive GA(3) than wild-type plants, which implied that OsMADS57 is involved in gibberellin (GA) pathway. Expectedly, the transcript levels of OsGA2ox3, encoding GAs deactivated enzyme, were significantly enhanced in OsMADS57 knockdown plants. The level of EUI1 transcripts involved in GA deactivation was also increased in OsMADS57 knockdown plants. More importantly, dual-luciferase reporter assay and electrophoretic mobility shift assay showed that OsMADS57 directly regulates the transcription of OsGA2ox3 as well as EUI1 through binding to the CArG-box motifs in their promoter regions. In addition, OsMADS57 also modulated the expression of multiple genes involved in GA metabolism or GA signaling pathway, indicating the key and complex regulatory role of OsMADS57 in GA pathway in rice. CONCLUSIONS: These results indicated that OsMADS57 acts as an important transcriptional regulator that regulates stem elongation and panicle exsertion in rice via GA-mediated regulatory pathway.","Key Laboratory of Biorheological Science and Technology, Ministry of Education, Bioengineering College, Chongqing University, Chongqing, People's Republic of China.",31139953,"Chu, Y. | Xu, N. | Wu, Q. | Yu, B. | Li, X. | Chen, R. | Huang, J.",The authors declare that they have no competing interests.,PMC6538746,May 28,PubMed-not-MEDLINE,10.1186/s12284-019-0298-6,NLM,20190528,985,1,GA catabolism,internal-pdf://2302640232/Chu-2019.pdf,,"Chu, Yanli",2019,,1939-8425 (Print),38,Rice transcription factor OsMADS57 regulates plant height by modulating gibberellin catabolism,Rice (N Y),Rice transcription factor OsMADS57 regulates plant height by modulating gibberellin catabolism,JOUR,https://www.ncbi.nlm.nih.gov/pubmed/31139953,12
"Regulation of flowering time is best understood in the dicot model species Arabidopsis thaliana. Molecular analyses revealed that genes belonging to the MADS box transcription factor family play pivotal regulatory roles in both the vernalization- and photoperiod-regulated flowering pathways. Here the analysis of three APETALA1 (AP1)-like MADS box proteins (LpMADS1-3) and a SHORT VEGETATIVE PHASE (SVP)-like MADS box protein (LpMADS10) from the monocot perennial grass species Lolium perenne is reported. Features of these MADS box proteins were studied by yeast two-hybrid assays. Protein-protein interactions among the Lolium proteins and with members of the Arabidopsis MADS box family have been studied. The expression pattern for LpMADS1 and the protein properties suggest that not the Arabidopsis AP1 gene, but the SUPPRESSOR OF CONSTANS1 (SOC1) gene, is the functional equivalent of LpMADS1. To obtain insight into the molecular mechanism underlying the regulation of LpMADS1 gene expression in vernalization-sensitive and -insensitive Lolium accessions, the upstream sequences of this gene from a winter and spring growth habit variety were compared with respect to MADS box protein binding. In both promoter elements, a putative MADS box transcription factor-binding site (CArG-box) is present; however, the putative spring promoter has a short deletion adjacent to this DNA motif. Experiments using yeast one-hybrid and gel retardation assays demonstrated that the promoter element is bound by an LpMADS1-LpMADS10 higher order protein complex and, furthermore, that this complex binds efficiently to the promoter element from the winter variety only. This strongly supports the model that LpMADS1 together with LpMADS10 controls the vernalization-dependent regulation of the LpMADS1 gene, which is part of the vernalization-induced flowering process in Lolium.","Plant Research International, Business unit Bioscience, Bornsesteeg 65, 6708 PD, Wageningen, The Netherlands.",17005923,"Ciannamea, S. | Kaufmann, K. | Frau, M. | Tonaco, I. A. | Petersen, K. | Nielsen, K. K. | Angenent, G. C. | Immink, R. G.",,,,Medline,10.1093/jxb/erl144,NLM,20060927,253,13,Amino Acid Sequence,internal-pdf://3586021593/Ciannamea-2006.pdf,,"Ciannamea, Stefano",2006,,0022-0957 (Print),3419-31,Protein interactions of MADS box transcription factors involved in flowering in Lolium perenne,J Exp Bot,Protein interactions of MADS box transcription factors involved in flowering in Lolium perenne,JOUR,https://www.ncbi.nlm.nih.gov/pubmed/17005923,57
"Angiosperm seed development is a paradigm of tissue cross-talk. Proper seed formation requires spatial and temporal coordination of the fertilization products - embryo and endosperm - and the surrounding seed coat maternal tissue. In early Arabidopsis seed development, all seed integuments were thought to respond homogenously to endosperm growth. Here, we show that the sub-epidermal integument cell layer has a unique developmental program. We characterized the cell patterning of the sub-epidermal integument cell layer, which initiates a previously uncharacterized extra cell layer, and identified TRANSPARENT TESTA 16 and SEEDSTICK MADS box transcription factors as master regulators of its polar development and cell architecture. Our data indicate that the differentiation of the sub-epidermal integument cell layer is insensitive to endosperm growth alone and to the repressive mechanism established by FERTILIZATION INDEPENDENT ENDOSPERM and MULTICOPY SUPPRESSOR OF IRA1 Polycomb group proteins. This work demonstrates the different responses of epidermal and sub-epidermal integument cell layers to fertilization.","Institut Jean-Pierre Bourgin, INRA, AgroParisTech, CNRS, University of Paris-Saclay, Route de St-Cyr (RD10), Versailles Cedex 78026, France.",28348169,"Coen, O. | Fiume, E. | Xu, W. | De Vos, D. | Lu, J. | Pechoux, C. | Lepiniec, L. | Magnani, E.",Competing interests The authors declare no competing or financial interests.,PMC5399669,Apr 15,Medline,10.1242/dev.146274,NLM,20170327,1072,8,Arabidopsis/*cytology/*embryology,internal-pdf://3773311884/Coen-2017.pdf,,"Coen, Olivier",2017,,1477-9129 (Electronic),1490-1497,Developmental patterning of the sub-epidermal integument cell layer in Arabidopsis seeds,Development,Developmental patterning of the sub-epidermal integument cell layer in Arabidopsis seeds,JOUR,https://www.ncbi.nlm.nih.gov/pubmed/28348169,144
"BACKGROUND: MADS-box genes are key regulators of plant reproductive development and members of most lineages of this gene family have been extensively studied. However, the function and diversification of the ancient TM8 lineage remains elusive to date. The available data suggest a possible function in flower development in tomato and fast evolution through numerous gene loss events in flowering plants. RESULTS: We show the broad conservation of TM8 within angiosperms and find that in contrast to other MADS-box gene lineages, no gene duplicates have been retained after major whole genome duplication events. Through knock-down of NbTM8 by virus induced gene silencing in Nicotiana benthamiana, we show that NbTM8 represses miR172 together with another MADS-box gene, SHORT VEGETATIVE PHASE (NbSVP). In the closely related species Petunia hybrida, PhTM8 is not expressed under the conditions we investigated and consistent with this, a knock-out mutant did not show a phenotype. Finally, we generated transgenic tomato plants in which TM8 was silenced or ectopically expressed, but these plants did not display a clear phenotype. Therefore, no clear function could be confirmed for Solanum lycopersium. CONCLUSIONS: While the presence of TM8 is generally conserved, it remains difficult to propose a general function in angiosperms. Based on all the available data to date, supplemented with our own results, TM8 function seems to have diversified quickly throughout angiosperms and acts as repressor of miR172 in Nicotiana benthamiana, together with NbSVP.","Department of Biology, KU Leuven, Kasteelpark Arenberg 31, B-3001, Leuven, Belgium.",29929474,"Coenen, H. | Viaene, T. | Vandenbussche, M. | Geuten, K.",ETHICS APPROVAL AND CONSENT TO PARTICIPATE: Not applicable. CONSENT FOR PUBLICATION: Not applicable. COMPETING INTERESTS: The authors declare that they have no competing interests. PUBLISHER'S NOTE: Springer Nature remains neutral with regard to jurisdictional claims in published maps and institutional affiliations.,PMC6013966,Jun 22,Medline,10.1186/s12870-018-1349-7,NLM,20180622,889,1,Biological Evolution,internal-pdf://0542955260/Coenen-2018.pdf,,"Coenen, Heleen",2018,,1471-2229 (Electronic),129,TM8 represses developmental timing in Nicotiana benthamiana and has functionally diversified in angiosperms,BMC Plant Biol,TM8 represses developmental timing in Nicotiana benthamiana and has functionally diversified in angiosperms,JOUR,https://www.ncbi.nlm.nih.gov/pubmed/29929474,18
"In contrast to the wealth of information relating to genes regulating floral meristem and floral organ identity, only limited data are available concerning genes that are involved in determining and regulating the identity and development of an ovule. We have recently isolated the floral binding protein 11 (FBP11) MADS box gene from petunia and found that it is expressed exclusively in ovule primordia and subsequently in the ovules, suggesting a role for this gene in ovule formation. To test this hypothesis, we constructed a recombinant gene in which the full-size FBP11 cDNA was placed under the control of a strong cauliflower mosaic virus 35S promoter. Transgenic petunia plants expressing this chimeric gene have ovulelike structures on the adaxial side of the sepals and the abaxial side of the petals. Detailed morphological studies showed that these ovulelike structures are true ovules. RNA gel blot analysis was performed to investigate ectopic FBP11 expression in relation to the expression of the closely related FBP7 gene and the putative petunia class C-type homeotic genes FBP6 and pMADS3. Our results indicate that FBP11 represents an ovule identity gene. A new model describing the mode of action of FBP11 as an additional class D MADS box gene is presented.","Department of Developmental Biology, DLO-Centre for Plant Breeding and Reproduction Research, Wageningen, The Netherlands.",8535139,"Colombo, L. | Franken, J. | Koetje, E. | van Went, J. | Dons, H. J. | Angenent, G. C. | van Tunen, A. J.",,PMC161044,Nov,Medline,10.1105/tpc.7.11.1859,NLM,1995/11/01,570,11,Base Sequence,internal-pdf://3265144703/10.1105~tpc.7.11.1859.pdf,,"Colombo, L",1995,,1040-4651 (Print),1859-68,The petunia MADS box gene FBP11 determines ovule identity,Plant Cell,The petunia MADS box gene FBP11 determines ovule identity,JOUR,https://www.ncbi.nlm.nih.gov/pubmed/8535139,7
"MADS-box transcription factors are key regulators of plant developmental processes. While the function of MIKC (type II) MADS-box genes has been intensively studied, only limited data are available for the other more recently identified classes of MADS-box genes, despite these latter comprising more than 60% of the Arabidopsis MADS-box gene family. Here we describe the function of AGL23, an Arabidopsis type I MADS-box gene belonging to the Malpha subfamily. We show that AGL23 plays an important role during development of the female gametophyte and embryo. The agl23-1 mutant forms a functional megaspore. However, at this stage female gametophyte development is arrested and the megaspore persists during subsequent phases of ovule development. Despite the incomplete penetrance of the female gametophyte defect, plants homozygous for the agl23-1 mutation were never identified. Analysis of developing seeds showed that embryos homozygous for the agl23-1 allele are albino and unable to give rise to viable plants. Electron microscopy analysis revealed that this phenotype is due to the absence of chloroplasts, strongly suggesting that AGL23 is involved in controlling the biogenesis of organelles during embryo development.","Dipartimento di Biologia, Universita degli Studi di Milano, via Celoria 26, 20133 Milano, Italy.",18346189,"Colombo, M. | Masiero, S. | Vanzulli, S. | Lardelli, P. | Kater, M. M. | Colombo, L.",,,Jun,Medline,10.1111/j.1365-313X.2008.03485.x,NLM,20080313,1613,6,Arabidopsis/embryology/*genetics/metabolism,internal-pdf://0434248626/Colombo-2008.pdf,,"Colombo, Monica",2008,,1365-313X (Electronic),1037-48,"AGL23, a type I MADS-box gene that controls female gametophyte and embryo development in Arabidopsis",Plant J,"AGL23, a type I MADS-box gene that controls female gametophyte and embryo development in Arabidopsis",JOUR,https://www.ncbi.nlm.nih.gov/pubmed/18346189,54
"MADS-box transcription factors are important regulators of floral organ identity through their binding to specific motifs, termed CArG, in the promoter of their target genes. Petal initiation and development depend on class A and B genes, but MADS-box genes of the APETALA3 (AP3) clade are key regulators of this process. In the early diverging eudicot Nigella damascena, an apetalous [T] morph is characterized by the lack of expression of the NdAP3-3 gene, with its expression being petal-specific in the wild-type [P] morph. All [T] morph plants are homozygous for an NdAP3-3 allele with a Miniature Inverted-repeat Transposable Element (MITE) insertion in the second intron of the gene. Here, we investigated to which extent the MITE insertion impairs regulation of the NdAP3-3 gene. We found that expression of NdAP3-3 is initiated in the [T] morph, but the MITE insertion prevents its positive self-maintenance by affecting the correct splicing of the mRNA. We also found specific CArG features in the promoter of the NdAP3-3 genes with petal-specific expression. However, they are not sufficient to drive expression only in petals of transgenic Arabidopsis, highlighting the existence of Nigella-specific cis/trans-acting factors in regulating AP3 paralogs.","Universite Paris-Saclay, INRAE, CNRS, AgroParisTech, Genetique Quantitative et Evolution-Le Moulon, IDEEV, 12 route 128, 91190 Gif-sur-Yvette, France.",36512646,"Conde, E. Silva N. | Leguilloux, M. | Bellec, A. | Rodde, N. | Aubert, J. | Manicacci, D. | Damerval, C. | Berges, H. | Deveaux, Y.",,,Mar 13,Medline,10.1093/jxb/erac489,NLM,,534,5,*Nigella damascena/metabolism,internal-pdf://2953234492/Conde-2023.pdf,,"Conde E Silva, Natalia",2023,,1460-2431 (Electronic),1448-1459,A MITE insertion abolishes the AP3-3 self-maintenance regulatory loop in apetalous flowers of Nigella damascena,J Exp Bot,A MITE insertion abolishes the AP3-3 self-maintenance regulatory loop in apetalous flowers of Nigella damascena,JOUR,https://www.ncbi.nlm.nih.gov/pubmed/36512646,74
"The genus Passiflora comprises a large group of plants popularly known as passionfruit, much appreciated for their exotic flowers and edible fruits. The species ( approximately 500) are morphologically variable (e.g., growth habit, size, and color of flowers) and are adapted to distinct tropical ecosystems. In this study, we generated the genome of the wild diploid species Passiflora organensis Gardner by adopting a hybrid assembly approach. Passiflora organensis has a small genome of 259 Mbp and a heterozygosity rate of 81%, consistent with its reproductive system. Most of the genome sequences could be integrated into its chromosomes with cytogenomic markers (satellite DNA) as references. The repeated sequences accounted for 58.55% of the total DNA analyzed, and the Tekay lineage was the prevalent retrotransposon. In total, 25,327 coding genes were predicted. Passiflora organensis retains 5,609 singletons and 15,671 gene families. We focused on the genes potentially involved in the locus determining self-incompatibility and the MADS-box gene family, allowing us to infer expansions and contractions within specific subfamilies. Finally, we recovered the organellar DNA. Structural rearrangements and two mitoviruses, besides relics of other mobile elements, were found in the chloroplast and mt-DNA molecules, respectively. This study presents the first draft genome assembly of a wild Passiflora species, providing a valuable sequence resource for genomic and evolutionary studies on the genus, and support for breeding cropped passionfruit species.","Dep. de Genetica, Escola Superior de Agricultura ""Luiz de Queiroz"", Univ. de Sao Paulo, Piracicaba, 13418-900, Brazil.",34296827,"Costa, Z. P. | Varani, A. M. | Cauz-Santos, L. A. | Sader, M. A. | Giopatto, H. A. | Zirpoli, B. | Callot, C. | Cauet, S. | Marande, W. | Souza Cardoso, J. L. | Pinheiro, D. G. | Kitajima, J. P. | Dornelas, M. C. | Harand, A. P. | Berges, H. | Monteiro-Vitorello, C. B. | Carneiro Vieira, M. L.",,,Nov,Medline,10.1002/tpg2.20117,NLM,20210723,1377,3,Diploidy,internal-pdf://2235239070/Costa-2021.pdf,,"Costa, Zirlane Portugal",2021,,1940-3372 (Electronic),e20117,"A genome sequence resource for the genus Passiflora, the genome of the wild diploid species Passiflora organensis",Plant Genome,"A genome sequence resource for the genus Passiflora, the genome of the wild diploid species Passiflora organensis",JOUR,https://www.ncbi.nlm.nih.gov/pubmed/34296827,14
"Plant reproductive development from the first appearance of reproductively committed axes through to floral maturation requires massive and rapid remarshalling of gene expression. In dioecious species such as poplar this is further complicated by divergent male and female developmental programs. We used seven time points in male and female balsam poplar (Populus balsamifera L.) buds and catkins representing the full annual flowering cycle, to elucidate the effects of time and sex on gene expression during reproductive development. Time (developmental stage) is dominant in patterning gene expression with the effect of sex nested within this. Here, we find (1) evidence for five successive waves of alterations to the chromatin landscape which may be important in setting the overall reproductive trajectory, regardless of sex. (2) Each individual developmental stage is further characterized by marked sex-differential gene expression. (3) Consistent sexually differentiated gene expression regardless of developmental stage reveal candidates for high-level regulators of sex and include the female-specific poplar ARR17 homologue. There is also consistent male-biased expression of the MADS-box genes PISTILLATA and APETALA3. Our work provides insights into expression trajectories shaping reproductive development, its potential underlying mechanisms, and sex-specific translation of the genome information into reproductive structures in balsam poplar.","Department of Botany, University of British Columbia, Vancouver, BC, V6T 1Z4, Canada. quentin.cronk@ubc.ca.",32439903,"Cronk, Q. | Soolanayakanahally, R. | Brautigam, K.",The authors declare no competing interests.,PMC7242425,May 21,Medline,10.1038/s41598-020-64938-w,NLM,20200521,283,1,Chromatin/metabolism,internal-pdf://0053476175/Cronk-2020.pdf,,"Cronk, Quentin",2020,,2045-2322 (Electronic),8413,Gene expression trajectories during male and female reproductive development in balsam poplar (Populus balsamifera L.),Sci Rep,Gene expression trajectories during male and female reproductive development in balsam poplar (Populus balsamifera L.),JOUR,https://www.ncbi.nlm.nih.gov/pubmed/32439903,10
"In a past article, our lab described the identification and characterization of a novel vegetative MADS-box gene from quaking aspen trees, Populus tremuloides MADS-box 5 (PTM5). PTM5 was shown to be a member of the SOC1/TM3 class of MADS-box genes with a seasonal expression pattern specific to developing vascular tissues including the vascular cambium, the precursor to all woody branches, stems, and roots. Since the proper function of MADS-box proteins is dependent on specific interactions with other regulatory proteins, we further examined PTM5 protein-protein interactions as a means to better understand its function. Through yeast two-hybrid analyses, it was demonstrated that, like other SOC1/TM3 class proteins, PTM5 is capable of interacting with itself as well as other MADS-box proteins from aspen. In addition, yeast two-hybrid library screening revealed that PTM5 interacts with two non-MADS proteins, an actin depolymerizing factor (PtADF) and a novel leucine-rich repeat protein (PtLRR). In situ RNA localization was used to verify the overlapping expression patterns of these genes, and transgenic studies showed that over-expression of PTM5 in aspen causes alterations in root vasculature and root biomass development consistent with the cell growth and expansion functions of related ADF and LRR genes. These results suggest that the interaction of vegetative MADS-box genes with specific protein cofactors is a key step in the mechanisms that control woody tissue development in trees.","The University of Alabama in Huntsville, Department of Biological Sciences, Huntsville, AL 35899, USA.",17331677,"Cseke, L. J. | Ravinder, N. | Pandey, A. K. | Podila, G. K.",,,Apr 15,Medline,10.1016/j.gene.2006.12.033,NLM,20070119,134,1-2,Amino Acid Sequence,internal-pdf://4101018474/Cseke-2007.pdf,,"Cseke, Leland J",2007,,0378-1119 (Print),209-22,"Identification of PTM5 protein interaction partners, a MADS-box gene involved in aspen tree vegetative development",Gene,"Identification of PTM5 protein interaction partners, a MADS-box gene involved in aspen tree vegetative development",JOUR,https://www.ncbi.nlm.nih.gov/pubmed/17331677,391
"Plant trichomes are specialized epidermal cells that protect plants from insects and pathogens. In Arabidopsis, epidermal hairs decrease as internodes increase in height, with only few epidermal hairs produced on the sepals abaxial surface of the early flowers. TRIPTYCHON (TRY) is known to be a negative regulator of epidermal hair development in Arabidopsis, suppressing the formation of ectopic epidermal hairs in the inflorescence. Here, we reported that the second intron of TRY gene plays a critical role in trichome spatial distribution in Arabidopsis. The expression of TRY rises with the increasing stem nodes and reaches the peak in the inflorescence, while the trichomes distribution decrease. The transgenic plants showed that TRY promoter could only drive the genomic instead of coding sequences combined with GUS reporter gene, which indicates that the regulatory elements of TRY expression in inflorescence could be located in the intron regions. Multiple SPLs and MADS-box binding sites were found in the TRY intron2 sequence. Further genetic and biochemistry assays revealed that the flowering-related genes such as SPL9 could bind to these cis-elements directly, contributing to the TRY spatial expression. Since cotton fiber and Arabidopsis trichomes share similar regulatory mechanism, extended analysis showed that the intron2 of cotton TRY genes also contain the cis-elements. Thus, the introns harboring the transcription element may be the general way to regulate the gene expression in different plants and provides molecular clues for the related crops' traits design.","National Key Laboratory of Plant Molecular genetics, Institute of Plant Physiology and Ecology/CAS Center for Excellence in Molecular Plant Sciences, Chinese Academy of Sciences, Shanghai 200032, China.",35696911,"Cui, W. | Chen, Z. | Shangguan, X. | Li, T. | Wang, L. | Xue, X. | Cao, J.",,,Aug,Medline,10.1016/j.plantsci.2022.111311,NLM,20220505,1421,,*Arabidopsis/metabolism,internal-pdf://3130390641/Cui-2022.pdf,,"Cui, Wenrui",2022,,1873-2259 (Electronic),111311,TRY intron2 determined its expression in inflorescence activated by SPL9 and MADS-box genes in Arabidopsis,Plant Sci,TRY intron2 determined its expression in inflorescence activated by SPL9 and MADS-box genes in Arabidopsis,JOUR,https://www.ncbi.nlm.nih.gov/pubmed/35696911,321
"We identified FLY as a previously uncharacterized RNA-binding-family protein that controls flowering time by positively regulating the expression of FLC clade members. The ability of flowering plants to adjust the timing of the floral transition based on endogenous and environmental signals contributes to their adaptive success. In Arabidopsis thaliana, the MADS-domain protein FLOWERING LOCUS C (FLC) and the FLC clade members FLOWERING LOCUS M/MADS AFFECTING FLOWERING1 (FLM/MAF1), MAF2, MAF3, MAF4, and MAF5 form nuclear complexes that repress flowering under noninductive conditions. However, how FLM/MAF genes are regulated requires further study. Using a genetic strategy, we showed that the previously uncharacterized K-homology (KH) domain protein FLOWERING LOCUS Y (FLY) modulates flowering time. The fly-1 knockout mutant and FLY artificial microRNA knockdown line flowered earlier than the wild type under long- and short-day conditions. The knockout fly-1 allele, a SALK T-DNA insertion mutant, contains an ~ 110-kb genomic deletion induced by T-DNA integration. FLC clade members were downregulated in the fly-1 mutants and FLY artificial microRNA knockdown line, whereas the level of the FLC antisense transcript COOLAIR was similar to that of the wild type. Our results identify FLY as a regulator that affects flowering time through upregulation of FLC clade members.","State Key Laboratory of Biocontrol, Guangdong Provincial Key Laboratory of Plant Resources, School of Life Sciences, Sun Yat-Sen University, Guangzhou, 510275, People's Republic of China.",32948902,"Dai, G. Y. | Chen, D. K. | Sun, Y. P. | Liang, W. Y. | Liu, Y. | Huang, L. Q. | Li, Y. K. | He, J. F. | Yao, N.",,,Dec,Medline,10.1007/s00299-020-02598-w,NLM,20200919,1335,12,Arabidopsis/genetics/*physiology,internal-pdf://3623659927/Dai-2020.pdf,,"Dai, Guang-Yi",2020,,1432-203X (Electronic),1705-1717,The Arabidopsis KH-domain protein FLOWERING LOCUS Y delays flowering by upregulating FLOWERING LOCUS C family members,Plant Cell Rep,The Arabidopsis KH-domain protein FLOWERING LOCUS Y delays flowering by upregulating FLOWERING LOCUS C family members,JOUR,https://www.ncbi.nlm.nih.gov/pubmed/32948902,39
"MIKC-type MADS-box genes, also known as type II genes, play a crucial role in regulating the formation of floral organs and reproductive development in plants. However, the genome-wide identification and characterization of type II genes as well as a transcriptomic survey of their potential roles in Carica papaya remain unresolved. Here, we identified and characterized 24 type II genes in the C. papaya genome, and investigated their evolutional scenario and potential roles with a widespread expression profile. The type II genes were divided into thirteen subclades, and gene loss events likely occurred in papaya, as evidenced by the contracted member size of most subclades. Gene duplication mainly contributed to MIKC-type gene formation in papaya, and the duplicated gene pairs displayed prevalent expression divergence, implying the evolutionary significance of gene duplication in shaping the diversity of type II genes in papaya. A large-scale transcriptome analysis of 152 samples indicated that different subclasses of these genes showed distinct expression patterns in various tissues, biotic stress response, and abiotic stress response, reflecting their divergent functions. The hub-network of male and female flowers and qRT-PCR suggested that TT16-3 and AGL8 participated in male flower development and seed germination. Overall, this study provides valuable insights into the evolution and functions of MIKC-type genes in C. papaya.","Sanya Nanfan Research Institution of Hainan University, Sanya 572025, China.",37762345,"Dai, Y. | Wang, Y. | Zeng, L. | Jia, R. | He, L. | Huang, X. | Zhao, H. | Liu, D. | Zhao, H. | Hu, S. | Gao, L. | Guo, A. | Xia, W. | Ji, C.",The authors declare no conflict of interest.,PMC10531014,Sep 13,Medline,10.3390/ijms241814039,NLM,20230913,1298,18,*Transcriptome,internal-pdf://0629436982/Dai-2023.pdf,,"Dai, Yunsu",2023,,1422-0067 (Electronic),,Genomic and Transcriptomic Insights into the Evolution and Divergence of MIKC-Type MADS-Box Genes in Carica papaya,Int J Mol Sci,Genomic and Transcriptomic Insights into the Evolution and Divergence of MIKC-Type MADS-Box Genes in Carica papaya,JOUR,https://www.ncbi.nlm.nih.gov/pubmed/37762345,24
"BACKGROUND: The identity of flower organs is specified by various MIKC MADS-box transcription factors which act in a combinatorial manner. TM8 is a MADS-box gene that was isolated from the floral meristem of a tomato mutant more than twenty years ago, but is still poorly known from a functional point of view in spite of being present in both Angiosperms and Gymnosperms, with some species harbouring more than one copy of the gene. This study reports a characterization of TM8 that was carried out in transgenic tomato plants with altered expression of the gene. RESULTS: Tomato plants over-expressing either TM8 or a chimeric repressor form of the gene (TM8:SRDX) were prepared. In the TM8 up-regulated plants it was possible to observe anomalous stamens with poorly viable pollen and altered expression of several floral identity genes, among them B-, C- and E-function ones, while no apparent morphological modifications were visible in the other whorls. Oblong ovaries and fruits, that were also parthenocarpic, were obtained in the plants expressing the TM8:SRDX repressor gene. Such ovaries showed modified expression of various carpel-related genes. No apparent modifications could be seen in the other flower whorls. The latter plants had also epinastic leaves and malformed flower abscission zones. By using yeast two hybrid assays it was possible to show that TM8 was able to interact in yeast with MACROCALIX. CONCLUSIONS: The impact of the ectopically altered TM8 expression on the reproductive structures suggests that this gene plays some role in the development of the tomato flower. MACROCALYX, a putative A-function MADS-box gene, was expressed in all the four whorls of fully developed flowers, and showed quantitative variations that were opposite to those of TM8 in the anomalous stamens and ovaries. Since the TM8 protein interacted in vitro only with the A-function MADS-box protein MACROCALYX, it seems that for the correct differentiation of the tomato reproductive structures possible interactions between TM8 and MACROCALYX proteins might be important.",,25433802,"Daminato, M. | Masiero, S. | Resentini, F. | Lovisetto, A. | Casadoro, G.",,PMC4258831,Nov 30,Medline,10.1186/s12870-014-0319-y,NLM,20141130,487,,Flowers/genetics/growth & development/metabolism,internal-pdf://1254413882/10.1186~s12870-014-0319-y.pdf,,"Daminato, Margherita",2014,,1471-2229 (Electronic),319,"Characterization of TM8, a MADS-box gene expressed in tomato flowers",BMC Plant Biol,"Characterization of TM8, a MADS-box gene expressed in tomato flowers",JOUR,https://www.ncbi.nlm.nih.gov/pubmed/25433802,14
